ID,ObjectType,Rate,Metatitle,CitesNum,CitedByNum,AppearsInNum,URL
SCP-698,Euclid,+333,Judgmental Turtle,0,2,0,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-698
SCP-701,Euclid,+1457,The Hanged King's Tragedy,1,8,8,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-701
SCP-702,Euclid,+242,The Trader's Residence,8,2,0,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-702
SCP-703,Euclid,+238,Into The Closet,5,2,1,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-703
SCP-705,Safe,+389,Militaristic Play-Doh,1,2,5,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-705
SCP-711,Safe,+448,Paradoxical Insurance Policy,1,4,0,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-711
SCP-718,Keter,+188,Eyeball,1,3,0,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-718
SCP-720,Euclid,+91,Panopticon,4,2,0,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-720
SCP-732,Keter,+534,The Fan-Fic Plague,2,5,10,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-732
SCP-736,Keter,+313,The Iapetus Anomaly,0,2,1,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-736
SCP-737,Safe,+167,Hungry Train,0,3,1,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-737
SCP-738,Keter,+721,The Devil's Deal,0,5,7,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-738
SCP-742,Keter,+174,Retrovirus,0,3,1,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-742
SCP-743,Keter,+330,A Chocolate Fountain,1,3,2,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-743
SCP-756,Euclid,+276,Miniature Solar System,0,3,0,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-756
SCP-791,Safe,+44,Water Orb,3,2,0,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-791
SCP-807,Euclid,+281,Heart Attack on a Plate,0,2,0,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-807
SCP-811,Euclid,+608,Swamp Woman,0,4,2,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-811
SCP-814,Euclid,+114,Pure Tones,0,2,0,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-814
SCP-826,Safe,+452,Draws You into the Book,0,4,5,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-826
SCP-835,Keter,+800,Expunged Data Released,2,2,4,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-835
SCP-847,Euclid,+389,The Mannequin,2,3,4,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-847
SCP-858,Keter,+127,Gravity's Rainbow,0,2,1,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-858
SCP-871,Keter,+992,Self-Replacing Cake,0,3,9,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-871
SCP-874,Euclid,+122,Abyssal Fluid,0,2,0,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-874
SCP-882,Euclid,+903,A Machine,3,15,14,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-882
SCP-887,Safe,+224,Hypergraphia,13,2,0,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-887
SCP-890,Euclid,+577,The Rocket Surgeon,0,6,6,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-890
SCP-894,Safe,+134,"Speak No, Hear No, See No",3,2,2,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-894
SCP-905,Safe,+198,Mr. Chameleon,1,17,4,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-905
SCP-909,Euclid,+291,Mr. Forgetful,19,22,5,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-909
SCP-911,Euclid,+285,Egyptian Book of the Dead,1,2,1,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-911
SCP-913,Euclid,+137,Mr. Hungry,1,16,4,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-913
SCP-914,Safe,+2363,The Clockworks,150,24,35,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-914
SCP-915,Euclid,+90,The Mechanotesseractic Computer,1,2,0,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-915
SCP-917,Safe,+176,Mr. Moon,19,16,7,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-917
SCP-920,Euclid,+365,Mr. Lost,1,16,6,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-920
SCP-923,Safe,+153,A Useful Tool,0,2,0,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-923
SCP-938,Keter,+78,Blood and Thunder,0,2,1,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-938
SCP-939,Keter,+775,With Many Voices,12,5,5,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-939
SCP-946,Euclid,+577,A Formal Discussion,1,2,1,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-946
SCP-951,Safe,+234,My Friend LUCAS,0,2,0,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-951
SCP-953,Keter,+462,Polymorphic Humanoid,3,7,8,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-953
SCP-963,Euclid,+1207,Immortality,2,18,28,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-963
SCP-966,Euclid,+667,Sleep Killer,0,4,2,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-966
SCP-973,Euclid,+369,Smokey,0,2,4,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-973
SCP-978,Safe,+483,Desire Camera,148,2,1,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-978
SCP-993,Safe,+1257,Bobble the Clown,0,4,13,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-993
SCP-999,Safe,+2062,The Tickle Monster,1,11,8,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-999
SCP-1000,Keter,+1586,Bigfoot,5,26,21,https://iwasaki501.github.io/ternbusty/scp_by_series/series2.html#scp-1000
SCP-1004,Safe,+702,Factory Porn,2,2,5,https://iwasaki501.github.io/ternbusty/scp_by_series/series2.html#scp-1004
SCP-1006,Safe,+598,Spider Proletariat,0,4,1,https://iwasaki501.github.io/ternbusty/scp_by_series/series2.html#scp-1006
SCP-1007,Safe,+288,Mr. Life and Mr. Death,1,16,5,https://iwasaki501.github.io/ternbusty/scp_by_series/series2.html#scp-1007
SCP-1012,Keter,+323,Secret Chord,2,5,3,https://iwasaki501.github.io/ternbusty/scp_by_series/series2.html#scp-1012
SCP-1015,Safe,+342,Poor Man's Midas,0,3,0,https://iwasaki501.github.io/ternbusty/scp_by_series/series2.html#scp-1015
