Source,Target
SCP-1903,SCP-2746
SCP-1908,SCP-2933
SCP-1908,SCP-909
SCP-1908,SCP-527
SCP-1908,SCP-3537
SCP-1908,SCP-913
SCP-1908,SCP-2855
SCP-1908,SCP-917
SCP-1908,SCP-629
SCP-1908,SCP-2287
SCP-1908,SCP-644
SCP-1908,SCP-1007
SCP-1908,SCP-2396
SCP-1908,SCP-920
SCP-1908,SCP-1799
SCP-1908,SCP-2284
SCP-1908,SCP-2428
SCP-1908,SCP-905
SCP-1908,SCP-2148
SCP-1920,SCP-1940
SCP-1920,SCP-2395
SCP-1920,SCP-1740
SCP-1920,SCP-2940
SCP-1940,SCP-1920
SCP-1940,SCP-2395
SCP-1940,SCP-1740
SCP-1940,SCP-2940
SCP-1994,SCP-4643
SCP-1994,SCP-3625
SCP-1994,SCP-1781
SCP-1994,SCP-2933
SCP-1994,SCP-527
SCP-1994,SCP-2846
SCP-1994,SCP-4548
SCP-1994,SCP-2598
SCP-1994,SCP-4812
SCP-1994,SCP-2522
SCP-1994,SCP-1160
SCP-1994,SCP-2996
SCP-1994,SCP-3812
SCP-2000,SCP-1422
SCP-2000,SCP-3480
SCP-2006,SCP-2625
SCP-2006,SCP-2012
SCP-2006,SCP-5975
SCP-2006,SCP-2301
SCP-2006,SCP-2775
SCP-2006,SCP-2599
SCP-2006,SCP-2896
SCP-2006,SCP-682
SCP-2006,SCP-2201
SCP-2006,SCP-2317
SCP-2006,SCP-2050
SCP-2006,SCP-3200
SCP-2006,SCP-2950
SCP-2006,SCP-2800
SCP-2006,SCP-2499
SCP-2006,SCP-5725
SCP-2006,SCP-2925
SCP-2006,SCP-2101
SCP-2006,SCP-2440
SCP-2006,SCP-1644
SCP-2006,SCP-4007
SCP-2006,SCP-1758
SCP-2006,SCP-1842
SCP-2006,SCP-2750
SCP-2006,SCP-2588
SCP-2006,SCP-972
SCP-2006,SCP-4761
SCP-2012,SCP-2625
SCP-2012,SCP-2006
SCP-2012,SCP-5975
SCP-2012,SCP-2301
SCP-2012,SCP-2775
SCP-2012,SCP-2599
SCP-2012,SCP-2896
SCP-2012,SCP-2201
SCP-2012,SCP-2950
SCP-2012,SCP-2050
SCP-2012,SCP-3200
SCP-2012,SCP-2800
SCP-2012,SCP-2499
SCP-2012,SCP-5725
SCP-2012,SCP-2925
SCP-2012,SCP-2101
SCP-2012,SCP-2440
SCP-2012,SCP-1644
SCP-2012,SCP-4007
SCP-2012,SCP-1758
SCP-2012,SCP-1842
SCP-2012,SCP-1732
SCP-2012,SCP-2750
SCP-2012,SCP-2588
